"송신 서버 번호","데이터 번호","패킷 사이즈","데이터 사이즈","패킷 구분 명","패킷 명","패킷 길이","패킷 단위","패킷 범주","설명","정렬 순서","공개 구분 명"
"17","1","87","64","테일","안정기고장","1","","0(정상)/1(고장)","안정기 고장 여부","270","개방"
"19","1","63","43","테일","이산화탄소","5","ppm","00000 ~ 99999","이산화탄소","80","개방"
"24","2","106","92","헤더","제조사","2","정수","00 ~ 99","제조사","20","개방"
"24","2","106","92","테일","모드 정보","1","정수","0 ~ 9","모드 정보 ex) 1: INFO 3:WARN","60","개방"
"24","3","206","192","테일","위성 정보의 상태","8","정수","0 ~ 0xFFFFFFFF","위성 정보의 상태(SubFrame123)","160","개방"
"30","1","202","184","테일","초미세먼지 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터","210","개방"
"30","1","202","184","테일","암모니아","7","ppm","0~100000 ","2분 평균 암모니아","270","개방"
"31","1","56","38","테일","미세먼지","1","","0~1","센서 상태 코드 : 1정상. 0비정상","40","개방"
"36","1","87","64","테일","지역ID","1","","0~G","전국 지역구분값","50","개방"
"36","1","87","64","테일","점소등상태","1","","0(소등)/1(점등)","점소등상태","290","개방"
"16","1","59","36","헤더","모델명","11","","","모델명","1","개방"
"16","1","59","36","헤더","시리얼","12","","","시러얼","2","개방"
"16","1","59","36","테일","온도","6","℃","-30 ~ 50","10분당 온도체크값(평균)","3","개방"
"16","1","59","36","테일","습도","6","%","-30 ~ 50","10분당 습도체크값(평균)","4","개방"
"16","1","59","36","테일","PM2.5","6","㎍/m³","0~1000","10분당 초미세먼지체크값(평균)","5","개방"
"16","1","59","36","테일","PM10","6","㎍/m³","0~1000","10분당 미세먼지체크값(평균)","6","개방"
"16","1","59","36","테일","TVOCS","6","ppb","0 ~ 60000","10분당 TVOCs체크값(평균)","7","개방"
"16","1","59","36","테일","CO2EQ","6","ppm","0 ~ 10000","10분당 CO2eq체크값(평균)","8","개방"
"15","1","69","48","테일","패드 이상","1","","정상 : 0 비정상(오류) : 1","","19","개방"
"15","1","69","48","테일","패드 이상","1","","정상 : 0 비정상(오류) : 1","","190","개방"
"17","1","87","64","테일","깜빡거림","1","","0(정상)/1(고장)","깜빡거림 여부","280","개방"
"20","1","125","115","테일","시동 ON 누적거리","9","Km","0000000.0~9999999.9","시동 on 시 차량 누적 거리","60","개방"
"30","1","202","184","테일","돌풍 풍향","4","°","0~360","2분 돌풍 풍향(시계방향)","90","개방"
"31","1","56","38","테일","기온","1","℃","0~1","센서 상태 코드 : 1정상. 0비정상","50","개방"
"31","1","56","38","테일","진동(x) 최대","1","","0~1","센서 상태 코드 : 1정상. 0비정상","170","개방"
"36","1","87","64","테일","디밍값 1","3","%","0~100","디밍값 1","150","개방"
"24","2","106","92","테일","온도","5","℃","온도부호 1자리 0/1 정수 3자리 000~999 소수 1자리 0~9","현재 온도 ex) 10275 -&gt; 27.5℃","90","개방"
"24","3","206","192","테일","위성 정보의 상태","8","정수","0 ~ 0xFFFFFFFF","위성 정보의 상태(SubFrame45)","170","개방"
